The Jewelled Eye of AGABAL (Jeweyel) Level 800
By
withinamnesia
Published:
May 3, 2022


1245
colouration
divine
exact
eye
gordon
jewelled
more
pm
powers
pure
roulston
agabal
jeweyel
jeweyels
0305may2022
Description
The Jewelled Eye of AGABAL (Jeweyel) [More Exact and Pure Colouration]: 
-Matthew Gordon Roulston 12:45 PM 03/05(May)/2022

The Jewelled Eye Of AGABAL (Jeweyel)

The Jewelled Eye Of AGABAL Divine Powers, Jeweyel's Divine Powers


Divine Powers Hierarchy


The Arcane Creator:
Level 700 (150,000.000 Divine Power Creator)

- Khronus:
The Arcane Creator - Grey
Level 29  (0.044 Divine Power)
Level 28  (0.043 Divine Power)
Level 27  (0.042 Divine Power)
Level 26  (0.041 Divine Power)
Level 25  (0.040 Divine Power)
Level 24  (0.039 Divine Power)
Level 23  (0.038 Divine Power)
Level 22  (0.037 Divine Power)
Level 21  (0.036 Divine Power)

Level 20  (0.035 Divine Power)
Level 19  (0.034 Divine Power)
Level 18  (0.033 Divine Power)
Level 17  (0.032 Divine Power)
Level 16  (0.031 Divine Power)
Level 15  (0.030 Divine Power)
Level 14  (0.029 Divine Power)
Level 13  (0.028 Divine Power)
Level 12  (0.027 Divine Power)
Level 11  (0.026 Divine Power)

Level 10  (0.025 Divine Power)
Level 9    (0.024 Divine Power)
Level 8    (0.023 Divine Power)
Level 7    (0.022 Divine Power)
Level 6    (0.021 Divine Power)
Level 5    (0.020 Divine Power)
Level 4    (0.019 Divine Power)
Level 3    (0.018 Divine Power)
Level 2    (0.017 Divine Power)
Level 1    (0.016 Divine Power)
Level 0    (0.015 Divine Power)
Ascension To Mortality (The Adventure Begins At Level 0)



-Matthew Gordon Roulston 1:40 PM 07th (Super Bowl) / 02 (February) / 2021 + 4:08 PM 11th / 03 (March) / 2021 + 5:43 PM 01 / 05 (May) / 2021 + 3:39 PM 03 / 05 (May) / 2021 + 2:42 AM 15th / 05 (May) / 2021 + 11:37 PM 24th / 05 (May) / 2021



Flare R.P.G. Engine:
#15 Hours with 6,000,000 Total Experience / ~400,000 Experience Per Hour
level=1,0 #0 Minutes
level=2,100000 #15 Minutes
level=3,200000 #30 Minutes
level=4,300000 #45 Minutes
level=5,400000 #1 Hour
level=6,500000 #1.25 Hours
level=7,600000 #1.5 Hours
level=8,700000 #1.75 Hours
level=9,800000 #2 Hours
level=10,900000 #2.25  Hours
level=11,1000000 #2.5 Hours
level=12,1200000 #3 Hours
level=13,1400000 #3.5 Hours
level=14,1600000 #4 Hours
level=15,2000000 #5 Hours
level=16,2400000 #6 Hours
level=17,2800000 #7 Hours
level=18,3200000 #8 Hours
level=19,3600000 #9 Hours
level=20,4000000 #10 Hours
level=21,4500000 #11.25 Hours
level=22,5000000 #12.5 Hours
level=23,5500000 #13.75 Hours
level=24,6000000 #15 Hours
level=25,6500000 #16.25 Hours
level=26,7000000 #17.5 Hours
level=27,7500000 #18.75 Hours
level=28,8000000 #20 Hours
level=29,8600000 #21.5 Hours
level=30,9200000 #23 Hours
level=31,9800000 #24.5 Hours
level=32,10400000 #26 Hours
level=33,11000000 #27.5 Hours
level=34,11600000 #29 Hours
level=35,12200000 #30.5 Hours
level=36,12800000 #32 Hours
level=37,13400000 #33.5 Hours
level=38,14000000 #35 Hours
level=39,14600000 #36.5 Hours
level=40,15200000 #38 Hours
level=41,15800000 #39.5 Hours
level=42,16400000 #41 Hours
level=43,17000000 #42.5 Hours
level=44,17600000 #44 Hours
level=45,18200000 #45.5 Hours
level=46,18800000 #47 Hours
level=47,19400000 #48.5 Hours
level=48,20000000 #50 Hours
level=49,20600000 #51.5 Hours
level=50,21200000 #53 Hours
level=51,21900000 #54.75 Hours
level=52,22600000 #56.5 Hours
level=53,23300000 #58.25 Hours
level=54,24000000 #60 Hours
level=55,24700000 #61.75 Hours
level=56,25400000 #63.5 Hours
level=57,26100000 #65.25 Hours
level=58,26800000 #67 Hours
level=59,27500000 #68.75 Hours
level=60,28200000 #70.5 Hours
level=61,28900000 #72.25 Hours
level=62,29600000 #74 Hours
level=63,30300000 #75.75 Hours
level=64,31000000 #77.5 Hours
level=65,31700000 #79.25 Hours
level=66,32400000 #81 Hours
level=67,33200000 #83 Hours
level=68,34000000 #85 Hours
level=69,34800000 #87 Hours
level=70,35600000 #89 Hours
level=71,36400000 #91 Hours
level=72,37200000 #93 Hours
level=73,38000000 #95 Hours
level=74,38800000 #97 Hours
level=75,39600000 #99 Hours
level=76,40400000 #101 Hours
level=77,41200000 #103 Hours
level=78,42000000 #105 Hours
level=79,42800000 #107 Hours
level=80,43600000 #109 Hours
level=81,44400000 #111 Hours
level=82,45200000 #113 Hours
level=83,46000000 #115 Hours
level=84,46800000 #117 Hours
level=85,47600000 #119 Hours
level=86,48800000 #122 Hours
level=87,50000000 #125 Hours
level=88,51200000 #128 Hours
level=89,52400000 #131 Hours
level=90,53600000 #134 Hours
level=91,54800000 #137 Hours
level=92,56000000 #140 Hours
level=93,57200000 #143 Hours
level=94,58400000 #146 Hours
level=95,59600000 #149 Hours
level=96,60800000 #152 Hours
level=97,62000000 #155 Hours
level=98,63200000 #158 Hours
level=99,64400000 #161 Hours
level=100,65600000 #164 Hours
-Matthew Gordon Roulston 10:53 PM 15th / 05 (May) / 2021



Powers can combine with other Powers although only interacting with neighboring Powers; there is no 'leaping over' a Power but rather 'bridge building' to access and combine other Powers.

Powers Require 5% / 5 Base Character Levels to Access. In theory a character with a level 100 character could have (100 / 5 = 20) 20 selections of different Powers although if going 'wide' and not 'tall' this would mean that after 13 different powers were selected 7 selections would remain. A maximum of 10 selections can be invested into a Power. This is the 'Liquid Specialization Array'.


Power Blend: A Maximum Total of 100% is the scope of which 5% of Specialization acts as Units to distribute a Character's Power focus over 100 Character Levels (for a 20 Total Specializations)
e.g. Furore and Chaos:
(20 Furore 100%)
(15 Furore 75%, 5 Chaos 25%)
(10 Furore 50%, 10 Chaos 50%)
(15 Chaos 75%, 5 Furore 25%)
(20 Chaos 100%)

-Matthew Gordon Roulston 10:26 PM 12th / 09 (September) / 2020



Ages of AGABAL
18,000 Years Ago - Birth of Khronus, Creation of Space, The First Age (The Age of Khronus)

17,000 Years Ago - Creation of the The Universe of AGABAL, Creation of the Creator World the thus the Center Leading Force of the first Divine Energy World of the Jewelled Eye of AGABAL

16,000 Years Ago - Creation of the Arcane Progenitors Sunorh and Hronus by Khronus, Creation of the Progenitor Worlds, The Second Age (The Age of the Arcane Progenitors)

15,000 Years Ago - Creation of Time within the Universe of AGABAL by The Arcane Progenitors, Sunorh the Father of Time and Hronus the Mother of Time

14,000 Years Ago - Formation of the Solar System, Creation of the Numina, Creation of the Numina Worlds, The Third Age (The Age of the Numina)

13,000 Years Ago - Formation of the Planet AGABAL and the celestial bodies of orbit within the sky

12,000 Years Ago - Creation of the Pantheon Gods and Goddesses, Creation of the Gods and Goddesses Worlds, Solidification of the Planet AGABAL, The Fourth Age (The Age of Gods and Goddesses)

11,000 Years Ago - Habitation of the Planet AGABAL, Creation of the Deities

10,000 Years Ago - Creation of the Abnudamu (Stonechild), Creation of the Potential for Mortal Ascension to Immortality and of Immortal Ascension to Demigodhood and of Demigodhood Ascension to Dietyhood, The Fifth Age (The Age of Mortals)

9,000 Years Ago - Discovery of Agriculture, Animal Husbandry and the Energies, Creation of Flesh Humanoids

8,000 Years Ago - Discovery of Engineering, The Sixth Age (The Stone Age)

7,000 Years Ago - Discovery of Machine Tools

6,000 Years Ago - Discovery of Mining, The Seventh Age (The Copper Age)

5,000 Years Ago - Discovery of Smelting

4,000 Years Ago - Discovery of Alloy, The Eighth Age (The Bronze Age)

3,000 Years Ago - Discovery of Vehicle Wheel

2,000 Years Ago - Discovery of Iron, The Ninth Age (The Iron Age)

1,000 Years Ago - Discovery of Black Powder and Steel

0,000 Years Today - Discovery of Steam Power, The Tenth Age (The Dark Age)



Warrior, Warder, Wanderer, and Worlder: Specialized Universal Roles of the Divine Energies

Warrior: Physical Energy Wielder, Plate Conventional. Ferocious Physical Battling, Hardened yet Mighty.

Warder: Spiritual Energy Wielder, Mail Conventional. Stalwart Spirit Wielder; Utilitarian yet Powerful.

Wanderer: Physical Energy Wielder, Leather Conventional. Mobile Physical Striking; Strategic yet Forceful.

Wizard: Magical Energy Wielder, Cloth Conventional. Intensive Magic Casting; Demanding yet Potent.

Worlder: Physical, Spiritual and Magical Energy Wielder, Leather / Mail Conventional. Warrior, Warder, Wanderer, Wizard together as one entity; a World Wielder.

-Matthew Gordon Roulston 5:58 PM 08 / 05 (May) / 2021



Divine Energy Worlds

The Creator World (Center Leading Force)

Khronus - Grey Arcane Energy World



The Progenitor Worlds (Orbits Around The Center Leading Force)

Sunorh - Bright Arcane Energy World

Hronus - Fade Arcane Energy World


The Numina Worlds (Orbits Around The Progenitor Worlds Which Orbits Around The Center Leading Force)

Suun - Ash Arcane Energy World

Ohnu - White Arcane Energy World

Rhoh - Soot Arcane Energy World

Khon - Black Arcane Energy World



The Gods and Goddesses Worlds (The Gods and Goddesses Worlds orbit around The Numina Worlds, Each The Gods and Goddesses World at equal speed to the Numina Worlds but with a longer orbit of travel and thus a longer duration for a complete orbit. The Gods and Goddesses Worlds orbit once completely around the Numina Worlds for every two Numina Worlds' orbits around the Progenitor Worlds. The Numina Worlds orbit once completely around the Progenitor Worlds for every two Progenitor Worlds orbits around the Center Leading Force of the Creator World of Khronus. Allorbits if viewed from 'above' would be in a clockwise manner around the Center Leading Force of the Creator World of Khronus of which rotates upon the very center; if not the very heart of the Universe of AGABAL of the Center Leading Force of the Creator World of the Arcane Creator, Khronus)

T'kael'los - Orange Furore Energy World

Dae'aldon - Yellow Light Energy World

Aethia - Green Wild Energy World

Aithyrios - Aqua Order Energy World

Palosa - Blue Gloam Energy World

Voezeithious - Purple Dark Energy World

Vlad'sithian - Pink Entropy Energy World

Kh'thulis - Red Chaos Energy World



The Divine Energy Worlds roughly create a flattened cone with a moderate 22.5 degree angle of slope away from the center. The head on image of the combined full image of the Divine Energy Worlds is that of the Jewel of AGABAL. The Planet of AGABAL cannot directly see the Jewel of AGABAL nor can the Jewel of AGABAL directly see the Planet of AGABAL for each world is the Divine Home World of the respective Divine Ruling Powers. Each Divine Energy World borders another Divine Energy World roughly. Yet they cannot directly see one another and each world has an edge and nothingness around it. If one were to fall off they would be lost until recovered. There is an all encompassing edge border to the nothingness. Yet it is a sort of portal to the center of the Divine World; a confinement barrier created by Khronus. The Jewel of AGABAL is roughly the physical size of the planet of AGABAL in surface area and as deep as the hardened mantle and as high as the upper atmosphere of the planet of AGABAL. Yet roughly flat and on a moderate slope with the upper edge of each radiating Divine Energy World closest to the Prime Leading Force with a slight isolated central rise of 11.25 degrees of the most prominent highest point creating a slight half conical mountain range with the edges starting at the inner topmost edges and radiating out in a circle in each respective Divine Energy World with the peak of each such mountain ranges being the foundation of the Palace of the Divine Ruling Powers of which the Ruling Power's Throne is perched atop the absolute highest point. The Universe of AGABAL is located next to yet directly invisible via being within a different dimension right where the Center Leading Force if inverted world be located.

-Matthew Gordon Roulston 6:51 PM 08th / 05 (May) / 2021 + 1:20 AM 20th / 06 (June) / 2021



-Matthew Gordon Roulston 2:52 PM 09th / 08 (August) / 2020 + 11:58 PM 12th / 08 (August) / 2020 (Creation of Pantheon) + 4:39 PM 07 (Super Bowl) / 02 (February) / 2021 (Creation of the Numina, 16,000 Years Ago Birth of Khronus, The Age of the Numina, Reiterating the Ages, Ninth Age) + 4:08 PM 03 / 05 (May) / 2021 (Creation of the Deities, Creation of the Potential for Mortal Ascension to Immortality and of Immortal Ascension to Demigodhood) + 7:21 PM 08 / 05 (May) / 2021 (Divine Energy Worlds, Creation of the Divine Energy Worlds on the Ages of AGABAL, addition of the Blades of Nor minus [Khronekro'Nor of the Center, Blade of Arcane, Deity of Khronus (Neutral Multi-Role Figure)] for Khronus should not have Deities for Khronus runs the universe and also has the Numina and Gods and Goddesses to separate the more granular and finite duties of the Universe of AGABAL.) + 2:42 AM 15th / 05 (May) / 2021 (Reiterated the Level 0 to 300 Divine Power Progression into increments of tenths and made access and added to the timeline for the Ascension from Demigodhood to Dietyhood.) + 10:53 PM 15th / 05 (May) / 2021 (Added Level progression Experience Table for the Flare R.P.G. Engine). + 12:36 PM to 1:20 AM 20th / 06 (June) / 2021 Added The Arcane Progenitors Sunorh and Hronus (Level 600) and increased Khronus The Arcane Creator to Level 700 with matching 150,000.000 Divine Power magnitude increase. Added the Age of the Arcane Progenitors to the timeline at 16,000 Years Ago and increased the birth of Kronus to 18,000 Years Ago; Moved all of the Ages by one thus at the 'final' current age creating the Tenth Age (The Dark Age). Added the Progenitor Worlds of Sunorh and Hronus to the Jewelled Eye of AGABAL and realigned the orbits of the celestial bodies to accommodate for the Progenitor Worlds orbiting out from the Creator World and with the Numina Worlds. Added the Bright (top Sunorh) and Fade (Hronus) Shades of Arcane and adjusted the brightness of the Ash and Soot Arcane shades with the Bright and Fade Arcane shades to follow a 1/6th progression from absolute black to absolute white; all arcane shades are now within equal balance.



AGABAL Interlinked: www.deviantart.com/withinamnes…



Player Power Maximum: Level 300 Deity, Base Item Level 300 (e.g. Orichalcum, Physical) + 100 Item Levels, Magic + 100 Item Levels, Spirit. Level 300 Player Deity Earned Item Level 500 Items As Absolute Pinnacle Maximum Power.
-Matthew Gordon Roulston 2:31 AM 08/11(November)/2021



Group Size Content [AFFRAY, CLASH, SKIRMISH, RAID, BATTLE, WAR, GREAT-WAR] (Boss Amount Per Encounter Group Size]

Boss Amount Per Encounter Group Size



AFFRAY 0.1 Person:

0.1 Person x 2 = 0.2 +/-0 = 0.2 [0.0-0.4] Boss Amount



CLASH 0.5-1.5 Person:

0.5 Person x 2 = 1 +/-0 = 1 [0.5-1.4] Boss Amount

1 Person x 2 = 2 +/-0 = 2 [1.5-2.4] Boss Amount

1.5 Person x 2 = 3 +/-0 = 3 [2.5-4] Boss Amount



SKIRMISH 3-15 Person:

3 Person x 2 = 6 + 1 = 7 [5-10] Boss Amount

4.5 Person x 2 = 9 + 1.5 = 10.5 [7-14 Boss Amount]

6 Person x 2 = 12 + 2 = 14 [11-17] Boss Amount

9 Person x 2 = 18 + 3 = 21 [18-24] Boss Amount

12 Person x 2 = 24 + 4 = 28 [25-31] Boss Amount

15 Person x 2 = 30 + 5 = 35 [32-40] Boss Amount



RAID 20-90 Person:

20 Person x 2 = 40 + 6 = 46 [41-51] Boss Amount

25 Person x 2 = 50 + 7 = 57 [52-62] Boss Amount

30 Person x 2 = 60 + 8 = 68 [63-73] Boss Amount

35 Person x 2 = 70 + 9 = 79 [74-84] Boss Amount

40 Person x 2 = 80 + 10 = 90 [85-95] Boss Amount

45 Person x 2 = 90 + 11 = 101 [96-106] Boss Amount

50 Person x 2 = 100 + 12 = 112 [107-122] Boss Amount

60 Person x 2 = 120 + 14 = 134 [123-144] Boss Amount

70 Person x 2 = 140 + 16 = 156 [145-166] Boss Amount

80 Person x 2 = 160 + 18 = 178 [167-188] Boss Amount

90 Person x 2 = 180 + 20 = 200 [189-212] Boss Amount



BATTLE 100-900 Person:

100 Person x 2 = 200 + 25 = 225 [213-252] Boss Amount

125 Person x 2 = 250 + 30 = 280 [253-307] Boss Amount

150 Person x 2 = 300 + 35 = 335 [308-362] Boss Amount

175 Person x 2 = 350 + 40 = 390 [363-417] Boss Amount

200 Person x 2 = 400 + 45 = 445 [418-472] Boss Amount

225 Person x 2 = 450 + 50 = 500 [473-527] Boss Amount

250 Person x 2 = 500 + 55 = 555 [528-609] Boss Amount

300 Person x 2 = 600 + 65 = 665 [610-719] Boss Amount

350 Person x 2 = 700 + 75 = 775 [720-829] Boss Amount

400 Person x 2 = 800 + 85 = 885 [830-939] Boss Amount

450 Person x 2 = 900 + 95 = 995 [940-1,049] Boss Amount

500 Person x 2 = 1,000 + 105 = 1,105 [1,050-1,214] Boss Amount

600 Person x 2 = 1,200 + 125 = 1,325 [1,215-1,434] Boss Amount

700 Person x 2 = 1,400 + 145 = 1,545 [1,435-1,654] Boss Amount

800 Person x 2 = 1,600 + 165 = 1,765 [1,655-1,874] Boss Amount

900 Person x 2 = 1,800 + 185 = 1,985 [1,875-2,097] Boss Amount



WAR 1,000-9,000 Person:

1,000 Person x 2 = 2,000 + 210 = 2,210 [2,098-2,484] Boss Amount

1,250 Person x 2 = 2,500 + 260 = 2,760 [2,485-3,034] Boss Amount

1,500 Person x 2 = 3,000 + 310 = 3,310 [3,035-3,584] Boss Amount

1,750 Person x 2 = 3,500 + 360 = 3,860 [3,585-4,134] Boss Amount

2,000 Person x 2 = 4,000 + 410 = 4,410 [4,135-4,684] Boss Amount

2,250 Person x 2 = 4,500 + 460 = 4,960 [4,685-5,234] Boss Amount

2,500 Person x 2 = 5,000 + 510 = 5,510 [5,235-6,059] Boss Amount

3,000 Person x 2 = 6,000 + 610 = 6,610 [6,060-7,159] Boss Amount

3,500 Person x 2 = 7,000 + 710 = 7,710 [7,160-8,259] Boss Amount

4,000 Person x 2 = 8,000 + 810 = 8,810 [8,260-9,359] Boss Amount

4,500 Person x 2 = 9,000 + 910 = 9,910 [9,360-10,459] Boss Amount

5,000 Person x 2 = 10,000 + 1,010 = 11,010 [10,460-12,109] Boss Amount

6,000 Person x 2 = 12,000 + 1,210 = 13,210 [12,110-14,309] Boss Amount

7,000 Person x 2 = 14,000 + 1,410 = 15,410 [14,310-16,509] Boss Amount

8,000 Person x 2 = 16,000 + 1,610 = 17,610 [16,510-18,709] Boss Amount

9,000 Person x 2 = 18,000 + 1,810 = 19,810 [18,710-20,914] Boss Amount



GREAT-WAR 10,000+ Person:

10,000 Person x 2 = 20,000 + 2,020 = 22,020 [20,915-23,124+?] Boss Amount



-Matthew Gordon Roulston 2:59 01/04(April)/2022 (April Fool's Day) + 3:36 PM 24th / 04 (April) / 2022 (45 Person Group) + 3:51 PM 03 / 05 (May) / 2022 (Group Size Content [AFFRAY, CLASH, SKIRMISH, RAID, BATTLE, WAR, GREAT-WAR]) + 4:30 PM 17th / 05 (May) / 2022 (Added Boss Amount / Loot Amount Bracket Averages) + 5:29 PM 7th/07(July)/2022 (Added and subsequently Calculated 4.5 Person Group Size and Boss Amount).



X.X Person Content Size Brackets (Including 4.5 Person Content)

(Inspiration Idea Concept Notes: 1.0 x 1.5 = 1.5, 1.5 x 1.5 = 2.25, 4.5 / 2 = 2.25 [~'2.3']. Or 1.5 is hard to 1.0 normal, as 4.5 is insane to 1.5 hard)

---------------
[0.0]
0.1 Person Content [0.0 - 0.2 Person Content Size Bracket]
[0.2]
---------------
[0.3]
0.5 Person Content
1.0 Person Content [0.3 - 2.2 Person Content Size Bracket]
1.5 Person Content
[2.2]
---------------
[2.3]
3.0 Person Content
4.5 Person Content [2.3 - 7 Person Content Size Bracket]
6.0 Person Content
[7]
---------------
[8]
9.0 Person Content
12.0 Person Content [8 - 17 Person Content Size Bracket]
15.0 Person Content
[17]
---------------
[18]
20 Person Content
25 Person Content [18 - 32 Person Content Size Bracket]
30 Person Content
[32]
---------------
[33]
35 Person Content
40 Person Content [33 - 44 Person Content Size Bracket]
45 Person Content
[44]
---------------
[45]
50 Person Content
60 Person Content [45 - 74 Person Content Size Bracket]
70 Person Content
[74]
---------------
[75]
80 Person Content
90 Person Content [75 - 104 Person Content Size Bracket]
100 Person Content
[104]
---------------
[105]
110
120 Person Content [105 - 134 Person Content Size Bracket]
130
[134]
---------------
[135]
140
150 Person Content [135 - 174 Person Content Size Bracket]
160
170
[174]
---------------
[175]
180
190
200 Person Content [175 - 224 Person Content Size Bracket]
210
220
[224]
---------------
[225]
230
240
250 Person Content [225 - 274 Person Content Size Bracket]
260
270
[274]
--------------
[275]
280
290
300 Person Content [275 - 324 Person Content Size Bracket]
310
320
[324]
---------------
[325]
330
340
350 Person Content [325 - 374 Person Content Size Bracket]
360
370
[374]
---------------
[375]
380
390
400 Person Content [375 - 424 Person Content Size Bracket]
410
420
[424]
---------------
[425]
430
440
450 Person Content [425 - 474 Person Content Size Bracket]
460
470
[474]
---------------
[475]
480
490
500 Person Content [475 - 549 Person Content Size Bracket]
510
520
530
540
[549]
---------------
[550]
560
570
580
590
600 Person Content [550 - 649 Person Content Size Bracket]
610
620
630
640
[649]
---------------
[650]
660
670
680
690
700 Person Content [650 - 749 Person Content Size Bracket]
710
720
730
740
[749]
---------------
[750]
760
770
780
790
800 Person Content [750 - 849 Person Content Size Bracket]
810
820
830
840
[849]
---------------
[850]
860
870
880
890
900 Person Content [850 - 949 Person Content Size Bracket]
910
920
930
940
[949]
---------------
[950]
960
970
980
990
1,000 Person Content [950 - 1,099 Person Content Size Bracket]
1,010
1,020
1,030
1,040
1,050
1,060
1,070
1,080
1,090
[1,099]
---------------
[1,100]
1,110
1,120
1,130
1,140
1,150
1,160
1,170
1,180
1,190
1,200 Person Content [1,100 - 1,349 Person Content Size Bracket]
1,230
1,240
1,250
1,260
1,270
1,280
1,290
1,300
1,310
1,320
1,330
1,340
[1,349]
---------------
[1,350]
1,360
1,370
1,380
1,390
1,400
1,410
1,420
1,430
1,440
1,450
1,460
1,470
1,480
1,490
1,500 Person Content [1,350 - 1,749 Person Content Size Bracket]
1,510
1,520
1,530
1,540
1,550
1,560
1,570
1,580
1,590
1,600
1,610
1,620
1,630
1,640
1,650
1,660
1,670
1,680
1,690
1,700
1,710
1,720
1,730
1,740
[1,749]
---------------
[1,750]

2,000 Person Content [1,750 - 2,249 Person Content Size Bracket]

[2,249]
---------------
[2,250]

2,500 Person Content [2,250 - 2,749 Person Content Size Bracket]

[2,749]
---------------
[2,750]

3,000 Person Content [2,750 - 3,249 Person Content Size Bracket]

[3,249]
---------------
[3,250]

3,500 Person Content [3,250 - 3,749 Person Content Size Bracket]

[3,749]
---------------
[3,750]

4,000 Person Content [3,750 - 4,249 Person Content Size Bracket]

[4,249]
---------------
[4,250]

4,500 Person Content [4,250 - 4,749 Person Content Size Bracket]

[4,749]
---------------
[4,750]

5,000 Person Content [4,750 - 5,499 Person Content Size Bracket]

[5,499]
---------------
[5,500]

6,000 Person Content [5,500 - 6,499 Person Content Size Bracket]

[6,499]
---------------
[6,500]

7,000 Person Content [6,500 - 7,499 Person Content Size Bracket]

[7,499]
---------------
[7,500]

8,000 Person Content [7,500 - 8,499 Person Content Size Bracket]

[8,499]
---------------
[8,500]

9,000 Person Content [8,500 - 9,499 Person Content Size Bracket]

[9,499]
---------------
[9,500]

10,000 Person Content  [9,500 - 10,999 Person Content Size Bracket]

[10,999]
---------------
[For Person Content Sizes above the 10,000 Person Content Size Bracket; as in : 12,000, 15,000, 20,000, 25,000, 30,000 35,000, 40,000, 45,000, 50,000, 60,000, 70,000 80,000, 90,000, 10,000, 120,000 150,000 and onward etc repeat the numeration / number ratio pattern from 1,000 Person Content to 10,000 Person Content'.]

-Matthew Gordon Roulston 5:09 PM 07th/07(July)/2022



Grade Value Fractions+

Ω+ (102+%) 1279/1280 0.99921875
Ω  (101%) 639/640 0.9984375 [Omega]
Ω- (100%) 319/320 0.996875
S+ (99%) 159/160 0.99375
S  (98%) 79/80 0.9875 [Super]
S- (97%) 39/40 0.975
A+ (95% - 96%) 19/20 0.95
A  (90% - 94%) 9/10 0.9 [Absolute]
A- (80% - 89%) 8/10 4/5 0.8
B+ (77% - 79%)
B  (73% - 76%) [Bona-fide]
B- (70% - 72%) 7/10 0.7
C+ (67% - 69%)
C  (63% - 66%) [Competent]
C- (60% - 62%) 6/10 0.6
D+ (57% - 59%)
D  (53% - 56%) [Dubious]
D- (50% - 52%) 5/10 0.5
E+ (47% - 49%)
E  (43% - 46%) [Erroneous]
E- (40% - 42%) 4/10 0.4
F+ (37% - 39%)
F  (33% - 36%) [Failure]
F- (30% - 32%) 3/10 0.3
G+ (27% - 29%)
G  (23% - 26%) [Goof]
G- (20% - 22%) 2/10 0.2
H+ (17% - 19%)
H  (13% - 16%) [Horrendous]
H- (10% - 12%) 1/10 0.1
I+ (7% - 9%)
I  (3% - 6%) [Incomplete]
I- (0% - 2%) 0/10 0.0
J+ (-1% - -4%)
J  (-5% - -9%) [Joke]
J- (-10+%) -1/10 -0.1

-Matthew Gordon Roulston 6:12 PM 4th / 12 (December) / 2021 + 8:15 PM 13th / 05 (May) / 2022 (Grade Value Ranks)



Item Quality Table++++ (Colours, Item Level) [ www.deviantart.com/withinamnes… ]

This is designed for my copyrighted medieval fantasy setting and for my commercial video game that is under current development.
---------------
Item Quality Table++++ (Colours, Item Level)

Destroyed (Faulty) -40 Item Levels [Black]
Broken (Flawed) -30 Item Levels [Soot]
Decrepit (Poor) -20 Item Levels [Ash]
Crude (Inferior) -10 Item Levels [White]
Common (Weak) +/-0 Item Levels [Amber]
Fine (Minor) +10 Item Levels [Chartreuse]
Exquisite (Lesser) +20 Item Levels [Green]
Masterwork (Substantial) +30 Item Levels [Aqua]
Elite (Greater) +40 Item Levels [Blue]
Heroic (Major) +50 Item Levels [Purple]
Epic (Mighty) +60 Item Levels [Pink]
Wonderous (Superior) +70 Item Levels [Red]
Legendary (Supreme) +80 Item Levels [Orange]
Supernatural (Transcendent) +90 Item Levels [Yellow]
Mythical (Absolute) +100 Item Levels [Grey]

-Matthew Gordon Roulston 6:54 PM 09th/07(July)/2017 + Matthew Gordon Roulston 11:49 PM 21st+2:31 PM 22nd + 10:33 PM 23rd/05(May)/2022 + 9:53 PM 01st/06(June)/202


The Planet AGABAL 3.210 Times Larger Than Planet Earth.
Circumference of Planet AGABAL: 128,640.80457 kilometers
(Circumference of Planet Earth 40,075.017 kilometers times 3.210 = 128,640.80457 kilometers.
-Matthew Gordon Roulston 2:04 PM 28th / 07 (July) / 2022 [During a ~35 degree C / 90-100 degree F week long heat wave]



AGABAL Power Levels:

- Creator (Khronus) Level 800

- Progenitor Level 700

- Numina Level 600

- God and Goddess Level 500

- Celestial (Blades of Nor) Level 400

- Deity (Maximum Player Level) Level 300

- Demigod and Demigoddess Level 200 to Level 299

- Immortal Level 100 to Level 199

- Mortal Level 0 to Level 99

[Item Maximum Level Bonus +300; Maximum Combined Player Level 300 Deity + 300 Item Maximum Bonus Level (example Orichalcum Level 300) = Combined Level 600]

-Matthew Gordon Roulston 4:53 PM 10th / 11 (November) / 2023
Image size
1000x1000px 29.88 KB
© 2022 - 2024 withinamnesia
Comments5
Newest
withinamnesia's avatar
withinamnesia's avatar
withinamnesia
Edited Jan 16, 2024

8 Hour Day and Night Cycles (~x3.21 Speed) [Scales of Time]

365 + leap year Gregorian Calendar

~3.21 times speed

24 hours / 3 = 8

Day Night Cycles

2 hours for day / night time stages


12:00 AM - Midnight Ending

01:00 AM - Morning Starting

02:00 AM - Morning Ending

03:00 AM - Noon Starting

04:00 AM - Noon Ending

05:00 AM - Dusk Starting

06:00 AM - Dusk Ending

07:00 AM - Midnight Starting

08:00 AM - Midnight Ending

09:00 AM - Morning Starting

10:00 AM - Morning Ending

11:00 AM - Noon Starting

12:00 PM - Noon Ending

01:00 PM - Dusk Starting

02:00 PM - Dusk Ending

03:00 PM - Midnight Starting

04:00 PM - Midnight Ending

05:00 PM - Morning Starting

06:00 PM - Morning Ending

07:00 PM - Noon Starting

08:00 PM - Noon Ending

09:00 PM - Dusk Starting

10:00 PM - Dusk Ending

11:00 PM - Midnight Starting



